Country,Region,Child mortality,GDP per capita,Years
Afghanistan,Asia,8.7449093125,2393.3912833333334,2000-2023
Albania,Europe,1.4543904566666666,12105.011079166667,2000-2023
Algeria,Africa,2.8875797375,14195.953083333334,2000-2023
Andorra,Europe,0.45505301125,61317.40966666667,2000-2023
Angola,Africa,12.002538116666665,8422.166420833333,2000-2023
Antigua and Barbuda,Americas,1.1866187541666666,27078.286000000004,2000-2023
Argentina,Americas,1.3847595666666666,25806.741041666668,2000-2023
Armenia,Asia,1.8478811375,11577.928699999999,2000-2023
Australia,Oceania,0.469333325,52529.258708333335,2000-2023
Austria,Europe,0.4213766754166666,60628.22791666666,2000-2023
Azerbaijan,Asia,3.8440814708333337,16273.084708333334,2000-2023
Bahamas,Americas,1.5373016875,33065.24933333333,2000-2023
Bahrain,Asia,0.9154678966666667,54464.98629166667,2000-2023
Bangladesh,Asia,4.949296458333333,4842.154783333333,2000-2023
Barbados,Americas,1.3164395833333333,18815.336583333334,2000-2023
Belarus,Europe,0.6048954216666667,22034.209791666668,2000-2023
Belgium,Europe,0.450099435,57671.60270833334,2000-2023
Belize,Americas,1.7815042166666666,12024.019833333334,2000-2023
Benin,Africa,10.564880341666667,2926.2197541666665,2000-2023
Bolivia,Americas,4.251592883333333,8044.9590708333335,2000-2023
Bosnia and Herzegovina,Europe,0.7116529233333333,13245.621645833335,2000-2023
Botswana,Africa,5.758349295833334,15773.658958333333,2000-2023
Brazil,Americas,2.018738958333333,17057.963145833335,2000-2023
Brunei Darussalam,Asia,0.9759871324999999,88856.30629166665,2000-2023
Bulgaria,Europe,1.044659515,22418.992291666666,2000-2023
Burkina Faso,Africa,12.093178166666666,1966.3276166666667,2000-2023
Burundi,Africa,9.095562979166667,924.6801662500001,2000-2023
Cabo Verde,Africa,2.2824922416666666,6974.462195833334,2000-2023
Cambodia,Asia,4.788332725,4245.9396625,2000-2023
Cameroon,Africa,10.421587316666667,4440.631729166666,2000-2023
Canada,Americas,0.5630215704166667,53001.32874999999,2000-2023
Central African Republic,Africa,17.017483375,1220.1089841666667,2000-2023
Chad,Africa,14.226948375,1808.9621,2000-2023
Chile,Americas,0.8384826258333334,24611.05425,2000-2023
China,Asia,1.670406515,11968.319758333333,2000-2023
Colombia,Americas,1.7847897041666665,14949.06275,2000-2023
Comoros,Africa,5.561835554166667,3274.648325,2000-2023
Congo,Africa,6.730289258333333,7692.4257,2000-2023
Costa Rica,Americas,1.0420792791666666,19701.1865625,2000-2023
Croatia,Europe,0.5778428808333333,30075.59158333333,2000-2023
Cyprus,Asia,0.3865891975,42967.290875,2000-2023
Czechia,Europe,0.36397227125,41771.66475,2000-2023
Côte d’Ivoire,Africa,10.003983004166667,4855.087733333333,2000-2023
DR Congo,Africa,11.119044283333333,1104.50507125,2000-2023
Denmark,Europe,0.43181680625,63011.27241666667,2000-2023
Dominica,Americas,2.6792258916666665,15361.352604166668,2000-2023
Dominican Republic,Americas,3.5343833124999997,16027.739104166665,2000-2023
Ecuador,Americas,1.9051402791666667,12193.410166666667,2000-2023
Egypt,Africa,2.858737175,12911.149333333335,2000-2023
El Salvador,Americas,1.8599548333333333,9148.0898125,2000-2023
Equatorial Guinea,Africa,10.867167266666668,26074.3075,2000-2023
Estonia,Europe,0.4981036308333333,34892.92058333333,2000-2023
Eswatini,Africa,7.817172129166667,8407.219233333333,2000-2023
Ethiopia,Africa,8.323464954166667,1633.9138329166665,2000-2023
Fiji,Oceania,2.35359305,11078.38775,2000-2023
Finland,Europe,0.30318059625,54273.52720833333,2000-2023
France,Europe,0.444082755,51240.740541666666,2000-2023
Gabon,Africa,5.1675430125,19639.221541666666,2000-2023
Gambia,Africa,7.228928024999999,2657.24775,2000-2023
Georgia,Asia,1.67491522375,12902.856079166668,2000-2023
Germany,Europe,0.42522375333333334,57260.849125,2000-2023
Ghana,Africa,6.432143854166667,4991.384025,2000-2023
Greece,Europe,0.44193533,34900.827750000004,2000-2023
Grenada,Americas,1.655300475,14257.636625,2000-2023
Guatemala,Americas,3.4135479666666666,10248.365791666667,2000-2023
Guinea,Africa,12.3004325,2918.7052750000003,2000-2023
Guinea-Bissau,Africa,11.309794208333335,2158.2343916666664,2000-2023
Guyana,Americas,3.593748925,13997.115125000002,2000-2023
Haiti,Americas,7.9471394166666665,3267.3620958333336,2000-2023
Honduras,Americas,2.4323600375,5534.6473125,2000-2023
